09/07/2021,39052,PLN
10/07/2021,38887,PLN
11/07/2021,38826,PLN
11/07/2021,38841,PLN
12/07/2021,38766,PLN
13/07/2021,38737,PLN
14/07/2021,38738,PLN
15/07/2021,38794,PLN
15/07/2021,38839,PLN
16/07/2021,38759,PLN
19/07/2021,38774,PLN
19/07/2021,38884,PLN
21/07/2021,38819,PLN
22/07/2021,38824,PLN
23/07/2021,38859,PLN
24/07/2021,38869,PLN
25/07/2021,38759,PLN
27/07/2021,38514,PLN
01/08/2021,38509,PLN
02/08/2021,38489,PLN
03/08/2021,38544,PLN
05/08/2021,38429,PLN
16/08/2021,36830,PLN
18/08/2021,36040,PLN
22/08/2021,34845,PLN